item_count,complexity,active_orders,hour_of_day,prep_time
4,7,0,14,24.631055983629082
5,4,8,2,30.218702307371608
3,8,1,4,27.893143300588793
5,4,8,12,27.994364771493625
5,7,13,23,39.63576598888305
2,4,6,5,27.821235848492474
3,5,8,8,29.441406917677213
3,7,2,18,23.633713911955926
3,3,0,6,17.537864035567196
5,5,0,12,20.453792787169768
4,3,10,21,33.351371492174806
3,5,14,4,40.40188007038786
5,3,9,15,33.61103244933334
2,7,5,3,29.49622307167072
4,1,6,4,20.485402250449585
2,9,8,19,36.51778684481025
4,9,5,18,37.93733124518378
5,5,4,22,34.03679445937506
1,9,13,5,35.41603202956525
4,6,1,3,26.95674640693822
2,5,1,0,18.68237145356971
5,3,7,16,30.8818622319841
4,8,14,8,40.24002068597567
1,4,0,15,12.162242855412343
1,3,7,22,25.391348353709947
3,6,10,1,31.08176789838236
3,8,9,10,35.89544879804041
2,9,10,4,36.635295423433305
4,6,6,12,28.721873840825126
4,5,6,19,34.01594236159982
3,2,4,16,22.8837081737262
4,2,2,14,20.489194894756935
4,9,6,21,40.0040029117055
1,2,6,11,19.79063352320987
3,2,6,5,24.561640334588343
5,3,11,19,40.735828572446025
3,3,14,12,32.15604279256522
5,4,14,17,39.60456999974385
1,7,10,23,28.9038790785716
2,9,1,14,23.59111181810395
4,2,2,14,19.35848323970918
1,4,2,7,12.503107635357193
4,9,3,18,35.8372862808995
2,2,11,22,28.817117249217088
2,1,8,13,17.727779444543728
1,8,9,6,31.38982812341849
2,9,14,13,38.77842762525521
5,7,0,4,25.939973936563018
2,8,14,14,37.327250352247646
4,4,14,20,39.56671179242798
4,4,11,14,32.4351408769619
4,2,6,23,20.475503505608533
4,8,6,3,32.00752192522251
5,2,10,0,33.96146639657029
3,9,3,16,25.701046882820222
1,4,12,19,35.25231660143239
4,1,10,0,30.673595608870496
2,4,0,15,13.428983626416771
4,3,2,12,20.5552179166838
2,6,4,17,20.20054125976908
2,7,11,9,29.801259134288184
4,8,1,22,31.534340025869945
5,2,6,17,26.018360327617643
2,6,13,16,32.46616986095568
2,6,9,8,26.538012320681464
4,5,9,13,29.732145218234262
2,7,6,20,33.482186578662755
2,3,11,12,28.495848505332354
4,4,9,19,36.08501812244511
4,9,4,19,35.52879160841683
1,4,14,13,27.648876605477597
5,3,11,10,35.325521318012086
5,2,9,12,32.08233581894488
2,5,14,16,32.250184605187286
5,4,5,2,26.682198763996247
2,8,0,0,18.06589822047879
1,7,3,20,27.16787479611812
4,6,3,4,29.75157244248399
4,2,10,12,29.887261635633795
